Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2014,"Total crops, fruit and horticulture",Midland,000 Hectares,37.8
Area Farmed in June,2014,Beans and peas,State,000 Hectares,3.5
Area Farmed in June,2014,Beans and peas,Northern and Western,000 Hectares,0.2
Area Farmed in June,2014,Beans and peas,Border,000 Hectares,0.1
Area Farmed in June,2014,Beans and peas,West,000 Hectares,0.1
Area Farmed in June,2014,Beans and peas,Southern,000 Hectares,1.5
Area Farmed in June,2014,Beans and peas,Mid-West,000 Hectares,0.2
Area Farmed in June,2014,Beans and peas,South-East,000 Hectares,0.8
Area Farmed in June,2014,Beans and peas,South-West,000 Hectares,0.5
Area Farmed in June,2014,Beans and peas,Eastern and Midland,000 Hectares,1.8
Area Farmed in June,2014,Beans and peas,Dublin and Mid-East,000 Hectares,1.7
Area Farmed in June,2014,Beans and peas,Midland,000 Hectares,0.2
Area Farmed in June,2014,Oilseed rape,State,000 Hectares,9.4
Area Farmed in June,2014,Oilseed rape,Northern and Western,000 Hectares,0.0
Area Farmed in June,2014,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2014,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2014,Oilseed rape,Southern,000 Hectares,4.5
Area Farmed in June,2014,Oilseed rape,Mid-West,000 Hectares,0.6
Area Farmed in June,2014,Oilseed rape,South-East,000 Hectares,3.4
Area Farmed in June,2014,Oilseed rape,South-West,000 Hectares,0.6
Area Farmed in June,2014,Oilseed rape,Eastern and Midland,000 Hectares,4.9
Area Farmed in June,2014,Oilseed rape,Dublin and Mid-East,000 Hectares,4.3
Area Farmed in June,2014,Oilseed rape,Midland,000 Hectares,0.6
Area Farmed in June,2014,Arable silage,State,000 Hectares,3.5
Area Farmed in June,2014,Arable silage,Northern and Western,000 Hectares,0.9
Area Farmed in June,2014,Arable silage,Border,000 Hectares,0.7
Area Farmed in June,2014,Arable silage,West,000 Hectares,0.3
Area Farmed in June,2014,Arable silage,Southern,000 Hectares,1.5
Area Farmed in June,2014,Arable silage,Mid-West,000 Hectares,0.2
Area Farmed in June,2014,Arable silage,South-East,000 Hectares,0.5
Area Farmed in June,2014,Arable silage,South-West,000 Hectares,0.7
Area Farmed in June,2014,Arable silage,Eastern and Midland,000 Hectares,1.1
Area Farmed in June,2014,Arable silage,Dublin and Mid-East,000 Hectares,0.5
Area Farmed in June,2014,Arable silage,Midland,000 Hectares,0.6
Area Farmed in June,2014,Maize silage,State,000 Hectares,13.9
Area Farmed in June,2014,Maize silage,Northern and Western,000 Hectares,0.4
Area Farmed in June,2014,Maize silage,Border,000 Hectares,0.2
Area Farmed in June,2014,Maize silage,West,000 Hectares,0.2
Area Farmed in June,2014,Maize silage,Southern,000 Hectares,8.8
Area Farmed in June,2014,Maize silage,Mid-West,000 Hectares,1.1
Area Farmed in June,2014,Maize silage,South-East,000 Hectares,3.4
Area Farmed in June,2014,Maize silage,South-West,000 Hectares,4.3
Area Farmed in June,2014,Maize silage,Eastern and Midland,000 Hectares,4.7
Area Farmed in June,2014,Maize silage,Dublin and Mid-East,000 Hectares,3.8
Area Farmed in June,2014,Maize silage,Midland,000 Hectares,0.9
Area Farmed in June,2014,Fodder rape and kale,State,000 Hectares,1.2
Area Farmed in June,2014,Fodder rape and kale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2014,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2014,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2014,Fodder rape and kale,Southern,000 Hectares,0.6
Area Farmed in June,2014,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2014,Fodder rape and kale,South-East,000 Hectares,0.2
Area Farmed in June,2014,Fodder rape and kale,South-West,000 Hectares,0.2
Area Farmed in June,2014,Fodder rape and kale,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2014,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2014,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2014,Potatoes,State,000 Hectares,9.5
Area Farmed in June,2014,Potatoes,Northern and Western,000 Hectares,1.1
Area Farmed in June,2014,Potatoes,Border,000 Hectares,1.0
Area Farmed in June,2014,Potatoes,West,000 Hectares,0.1
Area Farmed in June,2014,Potatoes,Southern,000 Hectares,2.9
Area Farmed in June,2014,Potatoes,Mid-West,000 Hectares,0.2
Area Farmed in June,2014,Potatoes,South-East,000 Hectares,1.9
Area Farmed in June,2014,Potatoes,South-West,000 Hectares,0.9
Area Farmed in June,2014,Potatoes,Eastern and Midland,000 Hectares,5.4
Area Farmed in June,2014,Potatoes,Dublin and Mid-East,000 Hectares,5.2
Area Farmed in June,2014,Potatoes,Midland,000 Hectares,0.2
Area Farmed in June,2014,Turnips,State,000 Hectares,0.9
Area Farmed in June,2014,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2014,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2014,Turnips,West,000 Hectares,0.1
Area Farmed in June,2014,Turnips,Southern,000 Hectares,0.5
Area Farmed in June,2014,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2014,Turnips,South-East,000 Hectares,0.3
Area Farmed in June,2014,Turnips,South-West,000 Hectares,0.1
Area Farmed in June,2014,Turnips,Eastern and Midland,000 Hectares,0.3
Area Farmed in June,2014,Turnips,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2014,Turnips,Midland,000 Hectares,0.1
Area Farmed in June,2014,Beet,State,000 Hectares,10.3
Area Farmed in June,2014,Beet,Northern and Western,000 Hectares,0.2
Area Farmed in June,2014,Beet,Border,000 Hectares,0.0
Area Farmed in June,2014,Beet,West,000 Hectares,0.2
Area Farmed in June,2014,Beet,Southern,000 Hectares,7.2
Area Farmed in June,2014,Beet,Mid-West,000 Hectares,0.6
Area Farmed in June,2014,Beet,South-East,000 Hectares,3.6
Area Farmed in June,2014,Beet,South-West,000 Hectares,3.0
Area Farmed in June,2014,Beet,Eastern and Midland,000 Hectares,2.9
Area Farmed in June,2014,Beet,Dublin and Mid-East,000 Hectares,1.3
Area Farmed in June,2014,Beet,Midland,000 Hectares,1.6
Area Farmed in June,2014,Vegetables for sale,State,000 Hectares,3.4
Area Farmed in June,2014,Vegetables for sale,Northern and Western,000 Hectares,0.1
Area Farmed in June,2014,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2014,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2014,Vegetables for sale,Southern,000 Hectares,1.0
Area Farmed in June,2014,Vegetables for sale,Mid-West,000 Hectares,0.0
Area Farmed in June,2014,Vegetables for sale,South-East,000 Hectares,0.6
Area Farmed in June,2014,Vegetables for sale,South-West,000 Hectares,0.3
Area Farmed in June,2014,Vegetables for sale,Eastern and Midland,000 Hectares,2.3
Area Farmed in June,2014,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.1
Area Farmed in June,2014,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2014,Fruit,State,000 Hectares,0.9
Area Farmed in June,2014,Fruit,Northern and Western,000 Hectares,0.1
Area Farmed in June,2014,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2014,Fruit,West,000 Hectares,0.0
Area Farmed in June,2014,Fruit,Southern,000 Hectares,0.5
Area Farmed in June,2014,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2014,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2014,Fruit,South-West,000 Hectares,0.1
Area Farmed in June,2014,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2014,Fruit,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2014,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2014,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2014,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2014,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2014,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2014,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2014,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.1
Area Farmed in June,2014,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2014,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2014,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2014,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2014,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2014,Other crops,State,000 Hectares,4.0
Area Farmed in June,2014,Other crops,Northern and Western,000 Hectares,0.3
Area Farmed in June,2014,Other crops,Border,000 Hectares,0.2
Area Farmed in June,2014,Other crops,West,000 Hectares,0.1
Area Farmed in June,2014,Other crops,Southern,000 Hectares,2.0
Area Farmed in June,2014,Other crops,Mid-West,000 Hectares,0.6
Area Farmed in June,2014,Other crops,South-East,000 Hectares,1.0
Area Farmed in June,2014,Other crops,South-West,000 Hectares,0.3
Area Farmed in June,2014,Other crops,Eastern and Midland,000 Hectares,1.8
Area Farmed in June,2014,Other crops,Dublin and Mid-East,000 Hectares,1.5
Area Farmed in June,2014,Other crops,Midland,000 Hectares,0.3
Area Farmed in June,2014,Total cereals,State,000 Hectares,306.7
Area Farmed in June,2014,Total cereals,Northern and Western,000 Hectares,12.0
Area Farmed in June,2014,Total cereals,Border,000 Hectares,6.7
Area Farmed in June,2014,Total cereals,West,000 Hectares,5.3
Area Farmed in June,2014,Total cereals,Southern,000 Hectares,157.6
Area Farmed in June,2014,Total cereals,Mid-West,000 Hectares,23.7
Area Farmed in June,2014,Total cereals,South-East,000 Hectares,90.2
Area Farmed in June,2014,Total cereals,South-West,000 Hectares,43.7
Area Farmed in June,2014,Total cereals,Eastern and Midland,000 Hectares,137.0
Area Farmed in June,2014,Total cereals,Dublin and Mid-East,000 Hectares,104.2
Area Farmed in June,2014,Total cereals,Midland,000 Hectares,32.8
Area Farmed in June,2014,Total wheat,State,000 Hectares,71.6
Area Farmed in June,2014,Total wheat,Northern and Western,000 Hectares,0.9
Area Farmed in June,2014,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2014,Total wheat,West,000 Hectares,0.3
Area Farmed in June,2014,Total wheat,Southern,000 Hectares,23.6
Area Farmed in June,2014,Total wheat,Mid-West,000 Hectares,4.2
Area Farmed in June,2014,Total wheat,South-East,000 Hectares,13.0
Area Farmed in June,2014,Total wheat,South-West,000 Hectares,6.5
Area Farmed in June,2014,Total wheat,Eastern and Midland,000 Hectares,47.1
Area Farmed in June,2014,Total wheat,Dublin and Mid-East,000 Hectares,41.6
Area Farmed in June,2014,Total wheat,Midland,000 Hectares,5.5
Area Farmed in June,2014,Winter wheat,State,000 Hectares,65.1
Area Farmed in June,2014,Winter wheat,Northern and Western,000 Hectares,0.7
Area Farmed in June,2014,Winter wheat,Border,000 Hectares,0.5
Area Farmed in June,2014,Winter wheat,West,000 Hectares,0.2
Area Farmed in June,2014,Winter wheat,Southern,000 Hectares,19.9
Area Farmed in June,2014,Winter wheat,Mid-West,000 Hectares,3.8
Area Farmed in June,2014,Winter wheat,South-East,000 Hectares,11.7
Area Farmed in June,2014,Winter wheat,South-West,000 Hectares,4.5
Area Farmed in June,2014,Winter wheat,Eastern and Midland,000 Hectares,44.5
Area Farmed in June,2014,Winter wheat,Dublin and Mid-East,000 Hectares,39.8
Area Farmed in June,2014,Winter wheat,Midland,000 Hectares,4.7
Area Farmed in June,2014,Spring wheat,State,000 Hectares,6.5
Area Farmed in June,2014,Spring wheat,Northern and Western,000 Hectares,0.2
Area Farmed in June,2014,Spring wheat,Border,000 Hectares,0.1
Area Farmed in June,2014,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2014,Spring wheat,Southern,000 Hectares,3.7
Area Farmed in June,2014,Spring wheat,Mid-West,000 Hectares,0.4
Area Farmed in June,2014,Spring wheat,South-East,000 Hectares,1.3
Area Farmed in June,2014,Spring wheat,South-West,000 Hectares,2.0
Area Farmed in June,2014,Spring wheat,Eastern and Midland,000 Hectares,2.6
Area Farmed in June,2014,Spring wheat,Dublin and Mid-East,000 Hectares,1.8
Area Farmed in June,2014,Spring wheat,Midland,000 Hectares,0.8
Area Farmed in June,2014,Total oats,State,000 Hectares,18.6
Area Farmed in June,2014,Total oats,Northern and Western,000 Hectares,1.8
Area Farmed in June,2014,Total oats,Border,000 Hectares,0.9
Area Farmed in June,2014,Total oats,West,000 Hectares,0.9
Area Farmed in June,2014,Total oats,Southern,000 Hectares,9.3
Area Farmed in June,2014,Total oats,Mid-West,000 Hectares,1.6
Area Farmed in June,2014,Total oats,South-East,000 Hectares,5.8
Area Farmed in June,2014,Total oats,South-West,000 Hectares,2.0
Area Farmed in June,2014,Total oats,Eastern and Midland,000 Hectares,7.5
Area Farmed in June,2014,Total oats,Dublin and Mid-East,000 Hectares,5.8
Area Farmed in June,2014,Total oats,Midland,000 Hectares,1.6
Area Farmed in June,2014,Winter oats,State,000 Hectares,10.1
Area Farmed in June,2014,Winter oats,Northern and Western,000 Hectares,0.2
Area Farmed in June,2014,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2014,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2014,Winter oats,Southern,000 Hectares,5.1
Area Farmed in June,2014,Winter oats,Mid-West,000 Hectares,0.8
Area Farmed in June,2014,Winter oats,South-East,000 Hectares,3.6
Area Farmed in June,2014,Winter oats,South-West,000 Hectares,0.7
Area Farmed in June,2014,Winter oats,Eastern and Midland,000 Hectares,4.8
Area Farmed in June,2014,Winter oats,Dublin and Mid-East,000 Hectares,3.9
Area Farmed in June,2014,Winter oats,Midland,000 Hectares,0.9
Area Farmed in June,2014,Spring oats,State,000 Hectares,8.5
Area Farmed in June,2014,Spring oats,Northern and Western,000 Hectares,1.6
Area Farmed in June,2014,Spring oats,Border,000 Hectares,0.8
Area Farmed in June,2014,Spring oats,West,000 Hectares,0.8
Area Farmed in June,2014,Spring oats,Southern,000 Hectares,4.2
Area Farmed in June,2014,Spring oats,Mid-West,000 Hectares,0.8
Area Farmed in June,2014,Spring oats,South-East,000 Hectares,2.1
Area Farmed in June,2014,Spring oats,South-West,000 Hectares,1.3
Area Farmed in June,2014,Spring oats,Eastern and Midland,000 Hectares,2.7
Area Farmed in June,2014,Spring oats,Dublin and Mid-East,000 Hectares,1.9
Area Farmed in June,2014,Spring oats,Midland,000 Hectares,0.8
Area Farmed in June,2014,Total barley,State,000 Hectares,215.7
Area Farmed in June,2014,Total barley,Northern and Western,000 Hectares,9.3
Area Farmed in June,2014,Total barley,Border,000 Hectares,5.1
Area Farmed in June,2014,Total barley,West,000 Hectares,4.2
Area Farmed in June,2014,Total barley,Southern,000 Hectares,124.4
Area Farmed in June,2014,Total barley,Mid-West,000 Hectares,17.9
Area Farmed in June,2014,Total barley,South-East,000 Hectares,71.2
Area Farmed in June,2014,Total barley,South-West,000 Hectares,35.2
Area Farmed in June,2014,Total barley,Eastern and Midland,000 Hectares,82.0
Area Farmed in June,2014,Total barley,Dublin and Mid-East,000 Hectares,56.4
Area Farmed in June,2014,Total barley,Midland,000 Hectares,25.6
Area Farmed in June,2014,Winter barley,State,000 Hectares,60.1
Area Farmed in June,2014,Winter barley,Northern and Western,000 Hectares,1.8
Area Farmed in June,2014,Winter barley,Border,000 Hectares,1.3
Area Farmed in June,2014,Winter barley,West,000 Hectares,0.5
Area Farmed in June,2014,Winter barley,Southern,000 Hectares,30.9
Area Farmed in June,2014,Winter barley,Mid-West,000 Hectares,7.4
Area Farmed in June,2014,Winter barley,South-East,000 Hectares,13.1
Area Farmed in June,2014,Winter barley,South-West,000 Hectares,10.4
Area Farmed in June,2014,Winter barley,Eastern and Midland,000 Hectares,27.4
Area Farmed in June,2014,Winter barley,Dublin and Mid-East,000 Hectares,22.2
Area Farmed in June,2014,Winter barley,Midland,000 Hectares,5.2
Area Farmed in June,2014,Spring barley,State,000 Hectares,155.6
Area Farmed in June,2014,Spring barley,Northern and Western,000 Hectares,7.5
Area Farmed in June,2014,Spring barley,Border,000 Hectares,3.8
Area Farmed in June,2014,Spring barley,West,000 Hectares,3.7
Area Farmed in June,2014,Spring barley,Southern,000 Hectares,93.5
Area Farmed in June,2014,Spring barley,Mid-West,000 Hectares,10.5
Area Farmed in June,2014,Spring barley,South-East,000 Hectares,58.2
Area Farmed in June,2014,Spring barley,South-West,000 Hectares,24.8
Area Farmed in June,2014,Spring barley,Eastern and Midland,000 Hectares,54.6
Area Farmed in June,2014,Spring barley,Dublin and Mid-East,000 Hectares,34.3
Area Farmed in June,2014,Spring barley,Midland,000 Hectares,20.4
Area Farmed in June,2014,Other cereals,State,000 Hectares,0.8
Area Farmed in June,2014,Other cereals,Northern and Western,000 Hectares,0.0
Area Farmed in June,2014,Other cereals,Border,000 Hectares,0.0
Area Farmed in June,2014,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2014,Other cereals,Southern,000 Hectares,0.3
Area Farmed in June,2014,Other cereals,Mid-West,000 Hectares,0.0
Area Farmed in June,2014,Other cereals,South-East,000 Hectares,0.2
Area Farmed in June,2014,Other cereals,South-West,000 Hectares,0.0
Area Farmed in June,2014,Other cereals,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2014,Other cereals,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2014,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2014,Rough grazing in use,State,000 Hectares,494.2
Area Farmed in June,2014,Rough grazing in use,Northern and Western,000 Hectares,236.7
Area Farmed in June,2014,Rough grazing in use,Border,000 Hectares,121.6
Area Farmed in June,2014,Rough grazing in use,West,000 Hectares,115.1
Area Farmed in June,2014,Rough grazing in use,Southern,000 Hectares,200.5
Area Farmed in June,2014,Rough grazing in use,Mid-West,000 Hectares,48.2
Area Farmed in June,2014,Rough grazing in use,South-East,000 Hectares,25.4
Area Farmed in June,2014,Rough grazing in use,South-West,000 Hectares,126.9
Area Farmed in June,2014,Rough grazing in use,Eastern and Midland,000 Hectares,57.0
